Timestamp,Transaction_ID,Voltage,Current_Import,Power_Import,SoC,Label
2025-12-14 16:40:05.948308,1,400.0,23.787,9.515,20.0,1
2025-12-14 16:40:06.964054,1,400.0,17.015,6.806,20.01,1
2025-12-14 16:40:07.987869,1,400.0,9.059,3.624,20.01,1
2025-12-14 16:40:09.005834,1,400.0,16.759,6.704,20.01,1
2025-12-14 16:40:10.032201,1,400.0,25.681,10.273,20.02,1
2025-12-14 16:40:11.052320,1,400.0,16.348,6.539,20.02,1
2025-12-14 16:40:12.077467,1,400.0,10.219,4.088,20.02,1
2025-12-14 16:40:13.094648,1,400.0,16.321,6.528,20.03,1
2025-12-14 16:40:14.108780,1,400.0,25.029,10.012,20.03,1
2025-12-14 16:40:15.122768,1,400.0,17.322,6.929,20.03,1
2025-12-14 16:40:16.140776,1,400.0,9.263,3.705,20.03,1
2025-12-14 16:40:17.156833,1,400.0,18.245,7.298,20.04,1
2025-12-14 16:40:18.181363,1,400.0,24.966,9.986,20.04,1
2025-12-14 16:40:19.197343,1,400.0,16.645,6.658,20.05,1
2025-12-14 16:40:20.213126,1,400.0,9.563,3.825,20.05,1
2025-12-14 16:40:21.245546,1,400.0,16.585,6.634,20.05,1
2025-12-14 16:40:22.259687,1,400.0,24.296,9.718,20.06,1
2025-12-14 16:40:23.286293,1,400.0,16.345,6.538,20.06,1
2025-12-14 16:40:24.305095,1,400.0,10.196,4.078,20.06,1
2025-12-14 16:40:25.312547,1,400.0,17.259,6.904,20.06,1
2025-12-14 16:40:26.328531,1,400.0,25.017,10.007,20.07,1
2025-12-14 16:40:27.340420,1,400.0,18.02,7.208,20.07,1
2025-12-14 16:40:28.359085,1,400.0,10.199,4.079,20.07,1
2025-12-14 16:40:29.374860,1,400.0,18.171,7.269,20.08,1
2025-12-14 16:40:30.391076,1,400.0,24.849,9.94,20.08,1
2025-12-14 16:40:31.405546,1,400.0,17.099,6.84,20.08,1
2025-12-14 16:40:32.429408,1,400.0,9.66,3.864,20.09,1
2025-12-14 16:40:33.446117,1,400.0,17.697,7.079,20.09,1
2025-12-14 16:40:34.468685,1,400.0,24.415,9.766,20.09,1
2025-12-14 16:40:35.481357,1,400.0,16.646,6.659,20.1,1
2025-12-14 16:40:36.499230,1,400.0,8.901,3.561,20.1,1
2025-12-14 16:40:37.516293,1,400.0,17.271,6.909,20.1,1
2025-12-14 16:40:38.532858,1,400.0,23.809,9.523,20.11,1
